"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008026","St Mary's University College","25","160","45","5","0","235"
"10007843","St Mary's University, Twickenham","285","470","225","25","10","1,015"
"10007156","The University of Salford","1,090","1,580","870","180","140","3,860"
"10021256","The Salvation Army","0","0","0","0","0","0"
"10008362","London School of Science and Technology Limited","20","105","110","30","10","275"
"10007780","SOAS University of London","190","490","120","25","0","825"
"10005700","SRUC","15","70","45","60","25","210"
"10005790","Sheffield Hallam University","1,935","2,980","1,210","375","15","6,510"
"10007157","The University of Sheffield","1,410","2,685","710","150","280","5,230"
"10023458","The Sherwood Psychotherapy Training Institute Limited","10","10","0","0","0","20"
"10005916","Slough Borough Council","10","20","0","0","0","25"
"10006022","Solent University","605","955","525","120","0","2,205"
"10007158","The University of Southampton","1,590","2,310","570","75","215","4,760"
"10006093","Spurgeon's College","5","10","5","5","0","25"
"10006299","Staffordshire University","945","1,015","510","200","15","2,685"
"10007804","The University of Stirling","305","710","300","15","460","1,790"
"10037449","University of St Mark and St John","160","275","135","20","0","595"
"10008010","Stranmillis University College","50","190","45","5","0","290"
"10007805","The University of Strathclyde","1,020","1,460","380","60","250","3,170"
"10014001","University of Suffolk","215","365","200","35","0","820"
"10007159","The University of Sunderland","485","1,285","920","200","195","3,085"
"10007160","The University of Surrey","950","1,470","505","95","0","3,020"
"10007806","The University of Sussex","915","1,735","755","120","140","3,660"
"10007855","Swansea University","1,195","1,970","770","70","135","4,145"
"10007161","Teesside University","895","1,200","660","165","0","2,920"
"10037822","Tottenham Hotspur Foundation","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","65","80","25","0","0","180"
"10007858","University of Wales Trinity Saint David","415","605","305","65","0","1,390"
"10007114","University of the Highlands and Islands","125","215","115","25","380","865"
"10007807","Ulster University","1,325","2,275","885","95","0","4,580"
"10039956","The University of Law","55","140","135","20","0","345"
"10007784","University College London","1,970","2,370","475","60","345","5,215"
"10007793","University of South Wales","1,030","1,670","895","240","50","3,885"
"10029843","Waltham International College Limited","0","0","0","0","0","0"
"10007163","The University of Warwick","1,355","2,335","485","85","150","4,410"
"10007361","Waverley Abbey College","0","10","0","0","0","15"
"10007164","University of the West of England, Bristol","1,255","2,520","1,095","220","145","5,235"
"10007800","The University of the West of Scotland","390","850","445","65","3,210","4,965"
"10032288","West Dean College","0","0","0","0","0","0"
"10006566","The University of West London","760","850","410","120","10","2,145"
"10007165","The University of Westminster","650","1,565","955","180","5","3,355"
"10003614","The University of Winchester","325","970","385","60","0","1,745"
"10023290","West London College of Business and Management Sciences Limited","0","0","0","0","0","0"
"10007166","The University of Wolverhampton","1,005","1,195","740","410","0","3,350"
"10007139","University of Worcester","440","1,040","580","185","0","2,240"
"10007657","Writtle University College","30","65","55","5","20","175"
"10007713","York St John University","345","775","335","70","0","1,525"
"10007167","The University of York","1,015","2,000","545","100","75","3,735"
